people,img_id,Layer,X,Y,GrayValue
shn,frame_006686,6,116,281,127.68
shn,frame_006686,7,116,281,158.92
shn,frame_006686,8,116,281,249.6
shn,frame_006686,9,116,281,226.28
shn,frame_006686,10,116,281,121.04
shn,frame_006686,11,116,281,152.6
shn,frame_006686,12,116,281,247.6
shn,frame_006686,13,116,281,239.24
shn,frame_006686,14,116,281,124.92
shn,frame_006686,15,116,281,153.56
shn,frame_006696,0,114,279,252.6
shn,frame_006696,1,114,279,250.72
shn,frame_006696,2,114,279,142.96
shn,frame_006696,3,114,279,180.96
shn,frame_006696,4,114,279,251.0
shn,frame_006696,5,114,279,241.96
shn,frame_006696,6,114,279,139.96
shn,frame_006696,7,114,279,177.24
shn,frame_006696,8,114,279,250.8
shn,frame_006696,9,114,279,241.2
shn,frame_006696,10,114,279,141.12
shn,frame_006696,11,114,279,178.0
shn,frame_006696,12,114,279,250.8
shn,frame_006696,13,114,279,250.12
shn,frame_006696,14,114,279,144.28
shn,frame_006696,15,114,279,183.36
shn,frame_006706,0,114,279,252.6
shn,frame_006706,1,114,279,250.72
shn,frame_006706,2,114,279,142.96
shn,frame_006706,3,114,279,180.96
shn,frame_006706,4,114,279,251.0
shn,frame_006706,5,114,279,241.96
shn,frame_006706,6,114,279,139.96
shn,frame_006706,7,114,279,177.24
shn,frame_006706,8,114,279,250.8
shn,frame_006706,9,114,279,241.2
shn,frame_006706,10,114,279,141.12
shn,frame_006706,11,114,279,178.0
shn,frame_006706,12,114,279,250.8
shn,frame_006706,13,114,279,250.12
shn,frame_006706,14,114,279,144.28
shn,frame_006706,15,114,279,183.36
shn,frame_006716,0,113,279,250.52
shn,frame_006716,1,113,279,248.6
shn,frame_006716,2,113,279,134.92
shn,frame_006716,3,113,279,171.64
shn,frame_006716,4,113,279,248.6
shn,frame_006716,5,113,279,229.28
shn,frame_006716,6,113,279,125.56
shn,frame_006716,7,113,279,165.2
shn,frame_006716,8,113,279,249.48
shn,frame_006716,9,113,279,227.6
shn,frame_006716,10,113,279,126.12
shn,frame_006716,11,113,279,164.56
shn,frame_006716,12,113,279,247.8
shn,frame_006716,13,113,279,244.64
shn,frame_006716,14,113,279,133.68
shn,frame_006716,15,113,279,169.24
shn,frame_006726,0,116,280,250.24
shn,frame_006726,1,116,280,252.24
shn,frame_006726,2,116,280,152.2
shn,frame_006726,3,116,280,184.68
shn,frame_006726,4,116,280,249.68
shn,frame_006726,5,116,280,246.32
shn,frame_006726,6,116,280,147.6
shn,frame_006726,7,116,280,179.8
shn,frame_006726,8,116,280,249.96
shn,frame_006726,9,116,280,244.52
shn,frame_006726,10,116,280,144.8
shn,frame_006726,11,116,280,177.6
shn,frame_006726,12,116,280,248.52
shn,frame_006726,13,116,280,249.96
shn,frame_006726,14,116,280,145.72
shn,frame_006726,15,116,280,175.4
shn,frame_006736,0,116,280,250.68
shn,frame_006736,1,116,280,252.64
shn,frame_006736,2,116,280,149.24
shn,frame_006736,3,116,280,184.96
shn,frame_006736,4,116,280,249.96
shn,frame_006736,5,116,280,246.8
shn,frame_006736,6,116,280,144.24
shn,frame_006736,7,116,280,180.56
shn,frame_006736,8,116,280,250.0
shn,frame_006736,9,116,280,244.96
shn,frame_006736,10,116,280,141.2
shn,frame_006736,11,116,280,176.16
shn,frame_006736,12,116,280,249.52
shn,frame_006736,13,116,280,250.52
shn,frame_006736,14,116,280,143.36
shn,frame_006736,15,116,280,176.48
shn,frame_006746,0,114,279,250.16
shn,frame_006746,1,114,279,251.8
shn,frame_006746,2,114,279,144.36
shn,frame_006746,3,114,279,180.92
shn,frame_006746,4,114,279,249.96
shn,frame_006746,5,114,279,243.16
shn,frame_006746,6,114,279,141.0
shn,frame_006746,7,114,279,177.8
shn,frame_006746,8,114,279,248.56
shn,frame_006746,9,114,279,242.04
shn,frame_006746,10,114,279,142.0
shn,frame_006746,11,114,279,178.6
shn,frame_006746,12,114,279,248.2
shn,frame_006746,13,114,279,250.64
shn,frame_006746,14,114,279,143.84
shn,frame_006746,15,114,279,181.96
shn,frame_006756,0,116,280,250.84
shn,frame_006756,1,116,280,252.96
shn,frame_006756,2,116,280,152.92
shn,frame_006756,3,116,280,185.24
shn,frame_006756,4,116,280,249.6
shn,frame_006756,5,116,280,246.96
shn,frame_006756,6,116,280,146.32
shn,frame_006756,7,116,280,180.76
shn,frame_006756,8,116,280,248.92
shn,frame_006756,9,116,280,245.2
shn,frame_006756,10,116,280,144.16
shn,frame_006756,11,116,280,176.6
shn,frame_006756,12,116,280,249.32
shn,frame_006756,13,116,280,250.36
shn,frame_006756,14,116,280,145.76
shn,frame_006756,15,116,280,176.32
shn,frame_006766,0,115,279,251.36
shn,frame_006766,1,115,279,253.24
shn,frame_006766,2,115,279,152.68
shn,frame_006766,3,115,279,186.04
shn,frame_006766,4,115,279,249.16
shn,frame_006766,5,115,279,250.0
shn,frame_006766,6,115,279,149.0
shn,frame_006766,7,115,279,183.56
shn,frame_006766,8,115,279,248.96
shn,frame_006766,9,115,279,250.28
shn,frame_006766,10,115,279,150.84
shn,frame_006766,11,115,279,184.8
shn,frame_006766,12,115,279,249.96
shn,frame_006766,13,115,279,253.04
shn,frame_006766,14,115,279,154.0
shn,frame_006766,15,115,279,188.48
shn,frame_006891,0,114,279,249.88
shn,frame_006891,1,114,279,251.44
shn,frame_006891,2,114,279,143.36
shn,frame_006891,3,114,279,178.96
shn,frame_006891,4,114,279,249.92
shn,frame_006891,5,114,279,242.8
shn,frame_006891,6,114,279,138.12
shn,frame_006891,7,114,279,177.6
shn,frame_006891,8,114,279,249.68
shn,frame_006891,9,114,279,241.6
shn,frame_006891,10,114,279,138.92
shn,frame_006891,11,114,279,178.4
shn,frame_006891,12,114,279,249.16
shn,frame_006891,13,114,279,251.2
shn,frame_006891,14,114,279,143.88
shn,frame_006891,15,114,279,180.44
shn,frame_006991,0,114,281,251.32
shn,frame_006991,1,114,281,251.08
shn,frame_006991,2,114,281,139.4
shn,frame_006991,3,114,281,172.92
shn,frame_006991,4,114,281,250.36
shn,frame_006991,5,114,281,233.12
shn,frame_006991,6,114,281,128.72
shn,frame_006991,7,114,281,163.72
shn,frame_006991,8,114,281,250.96
shn,frame_006991,9,114,281,232.6
shn,frame_006991,10,114,281,126.24
